Ensembl_ID	Preferred_name	Ensembl_HGNC	Ensembl_gene	Ensembl_UniProt_AC
9606.ENSP00000362116	PGC	{'PGC'}	{'ENSG00000096088'}	{'Q5T3D7', 'Q5T3D8', 'B4DVZ3', 'P20142'}
9606.ENSP00000362121	IFT52	{'IFT52'}	{'ENSG00000101052'}	{'Q9H1G3', 'Q9H1H2', 'Q5H8Z0', 'E1P5W9', 'B3KMA1', 'Q9Y366', 'Q9H1G4'}
9606.ENSP00000362122	TNMD	{'TNMD'}	{'ENSG00000000005'}	{'Q9UJG0', 'Q9HBX0', 'Q9H2S6'}
9606.ENSP00000362123	PLA2G12B	{'PLA2G12B'}	{'ENSG00000138308'}	{'Q52LB2', 'Q9BX93', 'Q96Q99', 'B7ZL23'}
9606.ENSP00000362125	PCDH19	{'PCDH19'}	{'ENSG00000165194'}	{'Q5JTG2', 'Q8TAB3', 'B0LDS4', 'Q68DT7', 'E9PAM6', 'Q9P2N3', 'Q5JTG1'}
9606.ENSP00000362127	MTF1	{'MTF1'}	{'ENSG00000188786'}	{'Q96CB1', 'Q14872', 'B2RAK6'}
9606.ENSP00000362131	RPA4	{'RPA4'}	{'ENSG00000204086'}	{'Q3SY03', 'Q13156'}
9606.ENSP00000362133	C1orf122	{'C1orf122'}	{'ENSG00000197982'}	{'A2RQF4', 'E9PQ13', 'Q56A71', 'Q6ZSJ8'}
9606.ENSP00000362135	YRDC	{'YRDC'}	{'ENSG00000196449'}	{'Q6NVW3', 'Q7L4E4', 'Q4W4X8', 'Q7Z2I4', 'Q9H5F8', 'Q86U90'}
9606.ENSP00000362136	MANEAL	{'MANEAL'}	{'ENSG00000185090'}	{'Q6DD86', 'Q8N5P8', 'Q5VSG8', 'Q6P497', 'Q96G55', 'Q96N42'}
9606.ENSP00000362139	EPHA10	{'EPHA10'}	{'ENSG00000183317'}	{'Q6NW42', 'J3KPB5', 'A4FU89', 'Q5JZY3'}
9606.ENSP00000362144	MCU	{'MCU'}	{'ENSG00000156026'}	{'B2RDF3', 'Q8NE86', 'B3KXV7', 'Q96FL3'}
