"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"base","/opt/R/4.1.2/lib/R/library","4.1.2",NA,NA,NA,NA
"boot","/opt/R/4.1.2/lib/R/library","1.3-28",NA,NA,NA,NA
"class","/opt/R/4.1.2/lib/R/library","7.3-19",NA,NA,NA,NA
"cluster","/opt/R/4.1.2/lib/R/library","2.1.2",NA,NA,NA,NA
"codetools","/opt/R/4.1.2/lib/R/library","0.2-18",NA,NA,NA,NA
"compiler","/opt/R/4.1.2/lib/R/library","4.1.2",NA,NA,NA,NA
"datasets","/opt/R/4.1.2/lib/R/library","4.1.2",NA,NA,NA,NA
"foreign","/opt/R/4.1.2/lib/R/library","0.8-81",NA,NA,NA,NA
"graphics","/opt/R/4.1.2/lib/R/library","4.1.2",NA,NA,NA,NA
"grDevices","/opt/R/4.1.2/lib/R/library","4.1.2",NA,NA,NA,NA
"grid","/opt/R/4.1.2/lib/R/library","4.1.2",NA,NA,NA,NA
"KernSmooth","/opt/R/4.1.2/lib/R/library","2.23-20",NA,NA,NA,NA
"lattice","/opt/R/4.1.2/lib/R/library","0.20-45",NA,NA,NA,NA
"MASS","/opt/R/4.1.2/lib/R/library","7.3-54",NA,NA,NA,NA
"Matrix","/opt/R/4.1.2/lib/R/library","1.3-4",NA,NA,NA,NA
"methods","/opt/R/4.1.2/lib/R/library","4.1.2",NA,NA,NA,NA
"mgcv","/opt/R/4.1.2/lib/R/library","1.8-38",NA,NA,NA,NA
"nlme","/opt/R/4.1.2/lib/R/library","3.1-153",NA,NA,NA,NA
"nnet","/opt/R/4.1.2/lib/R/library","7.3-16",NA,NA,NA,NA
"parallel","/opt/R/4.1.2/lib/R/library","4.1.2",NA,NA,NA,NA
"rpart","/opt/R/4.1.2/lib/R/library","4.1-15",NA,NA,NA,NA
"spatial","/opt/R/4.1.2/lib/R/library","7.3-14",NA,NA,NA,NA
"splines","/opt/R/4.1.2/lib/R/library","4.1.2",NA,NA,NA,NA
"stats","/opt/R/4.1.2/lib/R/library","4.1.2",NA,NA,NA,NA
"stats4","/opt/R/4.1.2/lib/R/library","4.1.2",NA,NA,NA,NA
"survival","/opt/R/4.1.2/lib/R/library","3.2-13",NA,NA,NA,NA
"tcltk","/opt/R/4.1.2/lib/R/library","4.1.2",NA,NA,NA,NA
"tools","/opt/R/4.1.2/lib/R/library","4.1.2",NA,NA,NA,NA
"translations","/opt/R/4.1.2/lib/R/library","4.1.2",NA,NA,NA,NA
"utils","/opt/R/4.1.2/lib/R/library","4.1.2",NA,NA,NA,NA
